game,console,loose_val,complete_val,new_val,date(D/M/Y)
Wii U Console Deluxe Black 32GB,wii-u,132.51,157.50,157.50,22/03/2023
Zelda Twilight Princess HD,wii-u,92.04,104.58,104.58,22/03/2023
Zelda Wind Waker HD,wii-u,48.51,69.02,69.02,22/03/2023
Super Smash Bros.,wii-u,9.14,13.87,13.87,22/03/2023
Mario Kart 8,wii-u,13.12,15.00,15.00,22/03/2023
Devil's Third,wii-u,255.28,335.91,335.91,22/03/2023
Zelda Breath of the Wild,wii-u,26.15,28.00,28.00,22/03/2023
Wii U Console Deluxe: Zelda Wind Waker Edition,wii-u,235.00,318.77,318.77,22/03/2023
Xenoblade Chronicles X,wii-u,49.40,72.81,72.81,22/03/2023
Game &amp; Wario,wii-u,99.57,135.58,135.58,22/03/2023
Mario Party 10,wii-u,20.00,27.35,27.35,22/03/2023
Super Mario 3D World,wii-u,10.69,12.43,12.43,22/03/2023
Nintendo Land,wii-u,9.22,9.47,9.47,22/03/2023
Zelda Twilight Princess HD [amiibo Bundle],wii-u,136.87,147.50,147.50,22/03/2023
Paper Mario Color Splash,wii-u,41.45,55.08,55.08,22/03/2023
New Super Mario Bros. U,wii-u,13.42,16.92,16.92,22/03/2023
Kirby and the Rainbow Curse,wii-u,30.59,42.21,42.21,22/03/2023
Super Mario Maker,wii-u,8.88,12.33,12.33,22/03/2023
Bayonetta 2,wii-u,20.00,28.24,28.24,22/03/2023
Splatoon,wii-u,8.83,15.56,15.56,22/03/2023
Yoshi's Woolly World,wii-u,18.86,20.36,20.36,22/03/2023
New Super Mario Bros. U + New Super Luigi U,wii-u,17.25,19.51,19.51,22/03/2023
Donkey Kong Country: Tropical Freeze,wii-u,9.99,12.99,12.99,22/03/2023
Zelda Wind Waker HD [Limited Edition],wii-u,262.57,274.97,274.97,22/03/2023
Pokken Tournament,wii-u,9.34,12.63,12.63,22/03/2023
Wii Party U,wii-u,41.94,61.32,61.32,22/03/2023
Hyrule Warriors,wii-u,9.99,12.90,12.90,22/03/2023
Mario Kart 8 [Limited Edition],wii-u,015.84,199.95,199.95,22/03/2023
Pikmin 3,wii-u,13.00,17.20,17.20,22/03/2023
The Book of Unwritten Tales 2,wii-u,192.19,260.43,260.43,22/03/2023
Turbo: Super Stunt Squad,wii-u,82.49,219.90,219.90,22/03/2023
Wii Sports Club,wii-u,59.50,68.59,68.59,22/03/2023
Mario &amp; Sonic at the Rio 2016 Olympic Games,wii-u,66.87,69.94,69.94,22/03/2023
Hyrule Warriors [Limited Edition],wii-u,203.35,764.18,764.18,22/03/2023
Wii U Console Deluxe: Mario Kart 8 Edition,wii-u,215.41,250.00,250.00,22/03/2023
Wii U Console Basic White 8GB,wii-u,128.53,184.39,184.39,22/03/2023
Minecraft,wii-u,16.88,16.97,16.97,22/03/2023
Captain Toad: Treasure Tracker,wii-u,10.82,13.27,13.27,22/03/2023
New Super Luigi U,wii-u,16.27,25.49,25.49,22/03/2023
NES Remix Pack,wii-u,20.83,25.60,25.60,22/03/2023
Axiom Verge Multiverse Edition,wii-u,132.56,152.78,152.78,22/03/2023
Zelda Breath Of The Wild [First Print],wii-u,N/A,33.03,33.03,22/03/2023
Star Fox Zero &amp; Star Fox Guard Bundle,wii-u,10.00,19.03,19.03,22/03/2023
Zelda Wind Waker HD [Nintendo Selects],wii-u,39.00,55.99,55.99,22/03/2023
ZombiU,wii-u,6.33,8.09,8.09,22/03/2023
Xenoblade Chronicles X [Special Edition],wii-u,47.90,166.38,166.38,22/03/2023
Mario Tennis Ultra Smash,wii-u,12.00,14.26,14.26,22/03/2023
Wii U Console Deluxe: Super Mario World Edition,wii-u,151.29,191.53,191.53,22/03/2023
Wii U Pro Controller Black,wii-u,29.57,38.71,38.71,22/03/2023
Animal Crossing Amiibo Festival,wii-u,6.15,14.23,14.23,22/03/2023
Wii U Console Deluxe: Super Mario Maker Edition,wii-u,150.00,280.00,280.00,22/03/2023
DuckTales Remastered,wii-u,21.99,29.07,29.07,22/03/2023
Sonic Lost World,wii-u,24.99,38.03,38.03,22/03/2023
Star Fox Zero,wii-u,12.27,15.18,15.18,22/03/2023
Monster Hunter 3 Ultimate,wii-u,11.91,17.37,17.37,22/03/2023
Sonic Boom: Rise of Lyric,wii-u,22.49,30.97,30.97,22/03/2023
Pokken Tournament [Shadow Mewtwo amiibo Card],wii-u,38.91,47.53,47.53,22/03/2023
Tekken Tag Tournament 2,wii-u,30.28,39.95,39.95,22/03/2023
Cabela's Big Game Hunter: Pro Hunts,wii-u,70.50,79.95,79.95,22/03/2023
Mario &amp; Sonic at the Sochi 2014 Olympic Games,wii-u,17.29,20.74,20.74,22/03/2023
Tank! Tank! Tank!,wii-u,27.46,33.99,33.99,22/03/2023
Wii U Console Deluxe: Mario &amp; Luigi Edition,wii-u,194.95,234.50,234.50,22/03/2023
Star Fox Guard,wii-u,5.28,5.30,5.30,22/03/2023
Super Mario Maker [Book Bundle],wii-u,10.07,10.57,10.57,22/03/2023
Shovel Knight,wii-u,19.98,23.24,23.24,22/03/2023
Tokyo Mirage Sessions #FE,wii-u,14.39,16.00,16.00,22/03/2023
Amazing Spiderman,wii-u,25.98,34.99,34.99,22/03/2023
Call of Duty Black Ops II,wii-u,19.30,25.34,25.34,22/03/2023
Ninja Gaiden 3: Razor's Edge,wii-u,6.00,6.35,6.35,22/03/2023
Wonderful 101,wii-u,11.12,15.01,15.01,22/03/2023
Hello Kitty Kruisers,wii-u,27.85,45.91,45.91,22/03/2023
Wii U Gamepad Black,wii-u,72.86,76.00,76.00,22/03/2023
Batman: Arkham City Armored Edition,wii-u,10.88,15.00,15.00,22/03/2023
The Croods: Prehistoric Party,wii-u,56.76,70.00,70.00,22/03/2023
LEGO Marvel Super Heroes,wii-u,5.05,5.99,5.99,22/03/2023
Rodea the Sky Soldier,wii-u,23.29,26.84,26.84,22/03/2023
Guitar Hero Live Bundle,wii-u,7.29,41.58,41.58,22/03/2023
Amazing Spiderman 2,wii-u,18.56,21.51,21.51,22/03/2023
LEGO City Undercover,wii-u,7.50,8.24,8.24,22/03/2023
LEGO Movie Videogame,wii-u,5.35,5.74,5.74,22/03/2023
Rodea the Sky Soldier Limited Edition,wii-u,87.69,113.74,113.74,22/03/2023
Sonic &amp; All-Stars Racing Transformed,wii-u,10.25,12.97,12.97,22/03/2023
Shakedown Hawaii,wii-u,59.02,67.44,67.44,22/03/2023
Rayman Legends,wii-u,10.44,12.99,12.99,22/03/2023
Deus Ex: Human Revolution Director's Cut,wii-u,37.86,52.94,52.94,22/03/2023
Resident Evil Revelations,wii-u,15.99,22.32,22.32,22/03/2023
Super Mario 3D World [Nintendo Selects],wii-u,9.98,13.42,13.42,22/03/2023
Shantae Half-Genie Hero,wii-u,38.18,61.89,61.89,22/03/2023
007 Legends,wii-u,22.50,27.50,27.50,22/03/2023
Mario &amp; Sonic at the Sochi 2014 Olympic Games [Controller Bundle],wii-u,99.99,109.99,109.99,22/03/2023
Need for Speed Most Wanted,wii-u,16.50,19.99,19.99,22/03/2023
Mighty No. 9,wii-u,6.80,9.86,9.86,22/03/2023
Funky Barn,wii-u,31.88,48.25,48.25,22/03/2023
Shantae Half-Genie Hero [Risky Beats Edition],wii-u,50.41,59.97,59.97,22/03/2023
Epic Mickey 2: The Power of Two,wii-u,7.21,7.97,7.97,22/03/2023
Scribblenauts Unlimited,wii-u,5.25,5.86,5.86,22/03/2023
LEGO Jurassic World,wii-u,4.41,6.79,6.79,22/03/2023
Pac-Man and the Ghostly Adventures,wii-u,10.25,10.60,10.60,22/03/2023
Batman: Arkham Origins,wii-u,13.36,19.18,19.18,22/03/2023
Sonic Lost World [Deadly Six Edition],wii-u,27.98,48.51,48.51,22/03/2023
LEGO Batman 3: Beyond Gotham,wii-u,5.25,6.32,6.32,22/03/2023
SteamWorld Collection,wii-u,32.97,59.85,59.85,22/03/2023
Wii U Console Deluxe: Super Smash Bros &amp; Splatoon Edition,wii-u,162.98,214.50,214.50,22/03/2023
Assassin's Creed III,wii-u,6.74,9.32,9.32,22/03/2023
Gamecube Controller Adapter,wii-u,38.06,46.08,46.08,22/03/2023
Call of Duty Ghosts,wii-u,13.77,14.97,14.97,22/03/2023
Wii U Console Deluxe: ZombiU Edition,wii-u,191.92,220.71,220.71,22/03/2023
LEGO Star Wars The Force Awakens,wii-u,7.00,7.06,7.06,22/03/2023
LEGO Dimensions,wii-u,6.17,7.81,7.81,22/03/2023
Super Smash Bros. [Controller Bundle],wii-u,82.22,127.72,127.72,22/03/2023
Madden NFL 13,wii-u,8.53,10.56,10.56,22/03/2023
Disney Infinity [2.0 Edition],wii-u,5.94,6.00,6.00,22/03/2023
Nintendo Land [Luigi Wii Remote Bundle],wii-u,63.97,73.57,73.57,22/03/2023
Injustice: Gods Among Us,wii-u,8.60,9.63,9.63,22/03/2023
Skylanders Imaginators [Dark Edition],wii-u,84.27,99.54,99.54,22/03/2023
Skylanders Trap Team Starter Pack [Color Alive],wii-u,123.45,144.53,144.53,22/03/2023
N2 Elite,wii-u,76.19,90.00,90.00,22/03/2023
Wheel of Fortune,wii-u,36.49,39.41,39.41,22/03/2023
Donkey Kong Country: Tropical Freeze [Nintendo Selects],wii-u,10.16,12.84,12.84,22/03/2023
Just Dance 2016,wii-u,7.25,7.62,7.62,22/03/2023
Snoopy's Grand Adventure,wii-u,10.03,10.88,10.88,22/03/2023
Bayonetta 2 (Single Disc),wii-u,16.80,17.99,17.99,22/03/2023
Mass Effect 3,wii-u,8.56,10.65,10.65,22/03/2023
Skylanders Imaginators (Game Only),wii-u,6.22,7.86,7.86,22/03/2023
ESPN Sports Connection,wii-u,9.42,11.75,11.75,22/03/2023
Rapala Pro Bass Fishing,wii-u,44.14,45.51,45.51,22/03/2023
Wii Fit U (game only),wii-u,8.61,9.26,9.26,22/03/2023
Adventure Time: Explore the Dungeon Because I Don't Know,wii-u,13.99,17.17,17.17,22/03/2023
Planes: Fire &amp; Rescue,wii-u,20.95,36.84,36.84,22/03/2023
Just Dance 2015,wii-u,6.73,7.51,7.51,22/03/2023
Scribblenauts Unmasked: A DC Comics Adventure,wii-u,5.15,7.04,7.04,22/03/2023
Just Dance 2019,wii-u,32.68,41.02,41.02,22/03/2023
Animal Crossing Amiibo Festival [amiibo Bundle],wii-u,7.71,8.00,8.00,22/03/2023
Giana Sisters Twisted Dreams Director's Cut,wii-u,10.09,12.18,12.18,22/03/2023
Just Dance 2017,wii-u,6.90,7.47,7.47,22/03/2023
Disney Infinity 3.0 Edition [Game Only],wii-u,5.53,6.95,6.95,22/03/2023
Just Dance 4,wii-u,7.78,8.97,8.97,22/03/2023
Tokyo Mirage Sessions #FE [Special Edition],wii-u,60.50,88.45,88.45,22/03/2023
Minecraft: Story Mode Complete Adventure,wii-u,14.07,18.05,18.05,22/03/2023
Game Party Champions,wii-u,6.59,7.58,7.58,22/03/2023
NES Remix Pack [Nintendo Selects],wii-u,22.99,24.97,24.97,22/03/2023
Darksiders II,wii-u,14.95,21.25,21.25,22/03/2023
LEGO Marvel's Avengers,wii-u,7.75,8.86,8.86,22/03/2023
FIFA Soccer 13,wii-u,9.99,14.93,14.93,22/03/2023
How to Train Your Dragon 2,wii-u,22.82,29.99,29.99,22/03/2023
Runbow Deluxe Edition,wii-u,9.00,16.72,16.72,22/03/2023
Pac-Man and the Ghostly Adventures 2,wii-u,12.07,17.88,17.88,22/03/2023
Pikmin 3 [Nintendo Selects],wii-u,12.90,15.91,15.91,22/03/2023
Cars 3 Driven to Win,wii-u,9.97,9.99,9.99,22/03/2023
NBA 2K13,wii-u,15.99,18.64,18.64,22/03/2023
Guitar Hero Live [2 Pack Bundle],wii-u,49.69,57.14,57.14,22/03/2023
DuckTales Remastered [Pin],wii-u,28.97,33.92,33.92,22/03/2023
Darksiders: Warmastered Edition,wii-u,17.74,17.99,17.99,22/03/2023
LEGO Dimensions Starter Pack,wii-u,5.56,10.00,10.00,22/03/2023
Wii U Pro Controller White,wii-u,31.45,34.46,34.46,22/03/2023
Barbie: Dreamhouse Party,wii-u,21.71,26.71,26.71,22/03/2023
Disney Infinity [Game Only],wii-u,6.86,8.23,8.23,22/03/2023
Skylanders Imaginators: Starter Pack,wii-u,9.99,13.75,13.75,22/03/2023
Jeopardy [Nordic Games],wii-u,44.72,51.43,51.43,22/03/2023
Wii Fit U with Balance Board and Fit Meter,wii-u,19.66,22.61,22.61,22/03/2023
Disney Infinity 3.0 Starter Pack,wii-u,9.50,10.63,10.63,22/03/2023
Barbie and Her Sisters: Puppy Rescue,wii-u,10.03,11.55,11.55,22/03/2023
Assassin's Creed IV: Black Flag,wii-u,11.16,13.00,13.00,22/03/2023
New Super Mario Bros. U + New Super Luigi U [Refurbished],wii-u,32.05,37.86,37.86,22/03/2023
Walking Dead: Survival Instinct,wii-u,16.69,21.64,21.64,22/03/2023
Adventure Time: Finn and Jake Investigations,wii-u,8.63,11.21,11.21,22/03/2023
Hot Wheels: World's Best Driver,wii-u,25.30,29.96,29.96,22/03/2023
Mario Party 10 Mario [amiibo Bundle],wii-u,23.25,25.99,25.99,22/03/2023
Shakedown Hawaii [Special Edition],wii-u,74.25,75.00,75.00,22/03/2023
Marvel Avengers: Battle For Earth,wii-u,9.90,17.03,17.03,22/03/2023
Terraria,wii-u,12.43,18.02,18.02,22/03/2023
Just Dance 2014,wii-u,6.07,6.99,6.99,22/03/2023
SpongeBob SquarePants: Plankton's Robotic Revenge,wii-u,11.29,18.31,18.31,22/03/2023
Fast and the Furious: Showdown,wii-u,21.86,22.70,22.70,22/03/2023
Skylanders SuperChargers Starter Pack,wii-u,12.96,21.37,21.37,22/03/2023
Jeopardy!,wii-u,16.99,44.99,44.99,22/03/2023
Mario Party 10 Bowser [amiibo Bundle],wii-u,22.35,53.03,53.03,22/03/2023
Rabbids Land,wii-u,12.18,15.48,15.48,22/03/2023
Rise Of The Guardians,wii-u,13.09,16.95,16.95,22/03/2023
Yoshi's Woolly World [Green Yarn Yoshi Bundle],wii-u,46.75,56.73,56.73,22/03/2023
Skylanders SuperChargers: Dark Edition Starter Pack,wii-u,50.00,50.47,50.47,22/03/2023
Disney Infinity Starter Pack,wii-u,10.98,18.99,18.99,22/03/2023
LEGO The Hobbit,wii-u,8.25,9.32,9.32,22/03/2023
Transformers: Prime,wii-u,11.04,12.99,12.99,22/03/2023
Monster High: 13 Wishes,wii-u,12.16,18.32,18.32,22/03/2023
Penguins of Madagascar,wii-u,10.21,16.75,16.75,22/03/2023
Watch Dogs,wii-u,13.95,21.13,21.13,22/03/2023
Cabela's Dangerous Hunts 2013,wii-u,10.00,14.29,14.29,22/03/2023
Just Dance 2018,wii-u,10.99,14.89,14.89,22/03/2023
Disney Planes,wii-u,7.95,11.11,11.11,22/03/2023
Skylanders Swap Force: Starter Pack,wii-u,6.88,26.98,26.98,22/03/2023
Splinter Cell: Blacklist,wii-u,20.10,21.52,21.52,22/03/2023
Brunswick Pro Bowling,wii-u,9.99,11.49,11.49,22/03/2023
Legend of Kay Anniversary,wii-u,9.60,12.99,12.99,22/03/2023
Just Dance: Disney Party 2,wii-u,6.73,9.34,9.34,22/03/2023
Skylander's Giants Starter Pack,wii-u,3.02,17.05,17.05,22/03/2023
Warriors Orochi 3 Hyper,wii-u,15.32,24.41,24.41,22/03/2023
Phineas &amp; Ferb: Quest for Cool Stuff,wii-u,24.95,44.38,44.38,22/03/2023
Family Party: 30 Great Games Obstacle Arcade,wii-u,7.53,7.67,7.67,22/03/2023
Ben 10: Omniverse,wii-u,10.89,12.59,12.59,22/03/2023
LEGO Batman 2,wii-u,7.67,8.71,8.71,22/03/2023
Skylanders Trap Team Dark Edition: Starter Pack,wii-u,37.50,91.52,91.52,22/03/2023
Disney Infinity: Toy Box Starter Pack 2.0,wii-u,7.36,9.66,9.66,22/03/2023
Sniper Elite V2,wii-u,14.99,21.56,21.56,22/03/2023
Transformers: Rise of the Dark Spark,wii-u,15.98,18.62,18.62,22/03/2023
Wii Fit Meter,wii-u,3.11,3.58,3.58,22/03/2023
Angry Birds Star Wars,wii-u,6.60,9.46,9.46,22/03/2023
Disney Infinity: Marvel Super Heroes Starter Pak 2.0,wii-u,14.49,23.58,23.58,22/03/2023
Angry Birds Trilogy,wii-u,22.97,34.47,34.47,22/03/2023
Wipeout 3,wii-u,9.04,11.05,11.05,22/03/2023
Tumblestone,wii-u,27.42,28.79,28.79,22/03/2023
Sing Party,wii-u,5.04,8.66,8.66,22/03/2023
Mario Party 10 Peach [amiibo Bundle],wii-u,21.99,63.75,63.75,22/03/2023
Skylanders Trap Team: Starter Pack,wii-u,20.96,34.98,34.98,22/03/2023
Wii Fit U with Fit Meter,wii-u,11.49,15.02,15.02,22/03/2023
Monster High: New Ghoul in School,wii-u,10.36,14.34,14.34,22/03/2023
The Smurfs 2,wii-u,15.08,24.40,24.40,22/03/2023
Kung Fu Panda Showdown of the Legendary Legends,wii-u,7.65,16.81,16.81,22/03/2023
Zumba Fitness World Party,wii-u,11.98,14.99,14.99,22/03/2023
The Voice: I Want You,wii-u,7.99,8.64,8.64,22/03/2023
Just Dance Kids 2014,wii-u,8.25,10.50,10.50,22/03/2023
Your Shape Fitness Evolved 2013,wii-u,3.99,4.43,4.43,22/03/2023
Ben 10: Omniverse 2,wii-u,19.71,49.29,49.29,22/03/2023
Wipeout: Create &amp; Crash,wii-u,12.06,16.74,16.74,22/03/2023
Amazing Spiderman 2 [Walmart Edition],wii-u,14.51,17.14,17.14,22/03/2023
Assassin's Creed III [Steelbook Edition],wii-u,11.30,13.00,13.00,22/03/2023
Assassin’s Creed IV: Black Flag [Gamestop Edition],wii-u,67.70,79.26,79.26,22/03/2023
Assassin’s Creed IV: Black Flag [Walmart Edition],wii-u,12.74,15.00,15.00,22/03/2023
Captain Toad: Treasure Tracker [amiibo Bundle],wii-u,18.75,20.90,20.90,22/03/2023
Darksiders II [Nordic Games],wii-u,16.93,20.00,20.00,22/03/2023
Interactive Demo - December 2014,wii-u,N/A,N/A,N/A,22/03/2023
Interactive Demo - March 2016,wii-u,N/A,N/A,N/A,22/03/2023
Interactive Demo - October 2016,wii-u,N/A,N/A,N/A,22/03/2023
Just Dance 2014 [Wii Remote Bundle],wii-u,18.74,21.89,21.89,22/03/2023
Just Dance 2015 [Nintendo Selects],wii-u,39.78,39.97,39.97,22/03/2023
Just Dance 2016: Gold Edition,wii-u,13.23,13.75,13.75,22/03/2023
Just Dance 2017 Gold Edition,wii-u,15.89,17.91,17.91,22/03/2023
LEGO City Undercover [Nintendo Selects],wii-u,6.12,11.44,11.44,22/03/2023
LEGO Jurassic World [Target Edition],wii-u,N/A,N/A,N/A,22/03/2023
LEGO Marvel Super Heroes [Walmart Edition],wii-u,N/A,N/A,N/A,22/03/2023
Mario Kart 8 Wheel [Link],wii-u,N/A,N/A,N/A,22/03/2023
Mario Kart 8 Wheel [Luigi],wii-u,28.23,32.66,32.66,22/03/2023
Mario Kart 8 Wheel [Mario],wii-u,21.19,24.69,24.69,22/03/2023
Mario Kart 8 Wheel [Peach],wii-u,31.96,37.43,37.43,22/03/2023
Mario Kart 8 [Refurbished],wii-u,N/A,N/A,N/A,22/03/2023
New Super Luigi U [Refurbished],wii-u,N/A,N/A,N/A,22/03/2023
New Super Mario Bros. U [Refurbished],wii-u,N/A,N/A,N/A,22/03/2023
Nintendo Land [Nintendo Selects],wii-u,7.50,10.95,10.95,22/03/2023
Pikmin 3 [Refurbished],wii-u,N/A,N/A,N/A,22/03/2023
Pokken Tournament Pro Pad,wii-u,13.85,21.00,21.00,22/03/2023
Rayman Legends [Gamestop Edition],wii-u,16.20,18.99,18.99,22/03/2023
Scribblenauts Unmasked: A DC Comics Adventure [DVD Bundle],wii-u,10.95,13.00,13.00,22/03/2023
Sing Party [Microphone Bundle],wii-u,11.81,13.86,13.86,22/03/2023
Skylanders Giants,wii-u,10.42,12.49,12.49,22/03/2023
Skylanders SuperChargers (Game Only),wii-u,6.48,7.66,7.66,22/03/2023
Skylanders Swap Force [Dark Edition],wii-u,126.47,149.50,149.50,22/03/2023
Skylanders Swap Force [Game Only],wii-u,6.99,8.31,8.31,22/03/2023
Skylanders Trap Team,wii-u,7.97,8.99,8.99,22/03/2023
Sonic &amp; All-Stars Racing Transformed [Nintendo Selects],wii-u,10.84,12.77,12.77,22/03/2023
Sonic &amp; Sega All Stars Racing Transformed [Bonus Edition],wii-u,23.28,26.59,26.59,22/03/2023
Splatoon [Prima],wii-u,N/A,N/A,N/A,22/03/2023
Splinter Cell: Blacklist [Gamestop Edition],wii-u,23.13,27.14,27.14,22/03/2023
Splinter Cell: Blacklist [Special Edition],wii-u,16.11,18.53,18.53,22/03/2023
Super Mario 3D World [Family Game Of The Year],wii-u,13.80,16.17,16.17,22/03/2023
Super Mario 3D World [Not For Resale],wii-u,13.92,16.00,16.00,22/03/2023
Super Mario 3D World [Refurbished],wii-u,N/A,N/A,N/A,22/03/2023
The Voice: I Want You [Microphone Bundle],wii-u,7.92,9.11,9.11,22/03/2023
Wheel Of Fortune [Nordic Games],wii-u,38.71,45.72,45.72,22/03/2023
Wii Remote Plus Pink,wii-u,19.04,21.99,21.99,22/03/2023
Wii Remote Rapid Charging Set,wii-u,N/A,N/A,N/A,22/03/2023
Wii U Console Deluxe: Skylanders Swap Force Edition,wii-u,N/A,N/A,N/A,22/03/2023
Wii U Console Deluxe: Splatoon Edition,wii-u,190.00,203.56,203.56,22/03/2023
Wii U Console White 32GB,wii-u,149.85,172.24,172.24,22/03/2023
Wii U Fit Meter [Black],wii-u,N/A,N/A,N/A,22/03/2023
Wii U GamePad Accessory Set,wii-u,16.18,18.95,18.95,22/03/2023
Wii U Gamepad White,wii-u,51.00,58.61,58.61,22/03/2023
Wii U Kiosk,wii-u,50.00,189.00,189.00,22/03/2023
Wii U Microphone,wii-u,11.52,13.48,13.48,22/03/2023
Wii U Party [Controller Bundle],wii-u,104.12,123.12,123.12,22/03/2023
Wii U Remote Plus [Blue],wii-u,N/A,N/A,N/A,22/03/2023
Wired Fight Pad Luigi,wii-u,N/A,N/A,N/A,22/03/2023
Wired Fight Pad [Donkey Kong],wii-u,23.05,26.81,26.81,22/03/2023
Wired Fight Pad [Link],wii-u,13.49,15.48,15.48,22/03/2023
Wired Fight Pad [Mario],wii-u,15.83,20.00,20.00,22/03/2023
Wired Fight Pad [Samus],wii-u,N/A,N/A,N/A,22/03/2023
Wonderful 101 [Refurbished],wii-u,N/A,N/A,N/A,22/03/2023
Yoshi's Woolly World [Blue Yarn Yoshi Bundle],wii-u,36.00,41.60,41.60,22/03/2023
Yoshi's Woolly World [Pink Yarn Yoshi Bundle],wii-u,34.99,45.35,45.35,22/03/2023
Zelda Wind Waker HD [Refurbished],wii-u,N/A,N/A,N/A,22/03/2023
Gaming Essentials,wii-u,N/A,N/A,N/A,22/03/2023
Wii U Ultra Sensor Bar,wii-u,16.99,19.99,19.99,22/03/2023
Wired Fight Pad [Princess Peach],wii-u,23.01,26.41,26.41,22/03/2023
Wired Fight Pad [Yoshi],wii-u,15.29,17.72,17.72,22/03/2023
Interactive Demo - August 2015,wii-u,N/A,N/A,N/A,22/03/2023
Silicone Sleeve,wii-u,N/A,N/A,N/A,22/03/2023
Silicone Jacket [Blue],wii-u,N/A,N/A,N/A,22/03/2023
Silicone Jacket [Pink],wii-u,N/A,N/A,N/A,22/03/2023
Afterglow Pro Controller [Blue],wii-u,16.25,18.50,18.50,22/03/2023
Wii U Nunchuk [Black],wii-u,5.99,12.16,12.16,22/03/2023
Wii U Nunchuk [White],wii-u,5.83,10.75,10.75,22/03/2023
Tekken Tag Tournament 2 Wii U Edition Arcade Fightstick Tournament Edition,wii-u,N/A,N/A,N/A,22/03/2023
HORI Battle Pad [Mario],wii-u,28.39,33.22,33.22,22/03/2023
HORI Battle Pad [Luigi],wii-u,25.39,29.21,29.21,22/03/2023
Hori Pokken Tournament Pro Pad [Pikachu],wii-u,19.26,22.55,22.55,22/03/2023
Wii U AC Adapter,wii-u,14.99,18.86,18.86,22/03/2023
Wii U HDMI Cable,wii-u,9.99,11.46,11.46,22/03/2023
Wii U Gamepad AC Adapter,wii-u,12.25,14.91,14.91,22/03/2023
Wii U GamePad Stand &amp; Cradle Set,wii-u,10.61,15.13,15.13,22/03/2023
Skylanders Imaginators [Portal Owners Pack],wii-u,16.19,22.49,22.49,22/03/2023
Super Mario 3D All-Stars,nintendo-switch,58.00,65.00,65.00,22/03/2023
Zelda Breath of the Wild,nintendo-switch,34.72,35.00,35.00,22/03/2023
Mario Kart 8 Deluxe,nintendo-switch,37.42,37.84,37.84,22/03/2023
Super Smash Bros. Ultimate,nintendo-switch,36.67,40.08,40.08,22/03/2023
Super Mario Odyssey,nintendo-switch,35.00,35.00,35.00,22/03/2023
Animal Crossing: New Horizons,nintendo-switch,37.00,39.33,39.33,22/03/2023
Nintendo Switch OLED [Pokemon Scarlet &amp; Violet Edition],nintendo-switch,375.00,384.98,384.98,22/03/2023
Attack on Titan 2: Final Battle,nintendo-switch,115.59,118.38,118.38,22/03/2023
Nintendo Switch Pokemon: Let's Go Pikachu Edition,nintendo-switch,300.00,454.88,454.88,22/03/2023
Pokemon Sword,nintendo-switch,27.99,30.83,30.83,22/03/2023
Pokemon Legends: Arceus,nintendo-switch,31.00,36.73,36.73,22/03/2023
Luigi's Mansion 3,nintendo-switch,33.16,33.65,33.65,22/03/2023
Shantae and the Pirate's Curse,nintendo-switch,265.75,340.00,340.00,22/03/2023
Nintendo Switch Animal Crossing: New Horizons Edition,nintendo-switch,167.58,275.31,275.31,22/03/2023
Pokemon Brilliant Diamond,nintendo-switch,32.00,43.00,43.00,22/03/2023
Zelda Link's Awakening,nintendo-switch,33.17,34.18,34.18,22/03/2023
Pokemon Violet,nintendo-switch,36.00,39.07,39.07,22/03/2023
Super Mario Party,nintendo-switch,31.19,32.22,32.22,22/03/2023
Xenoblade Chronicles 2,nintendo-switch,42.52,44.80,44.80,22/03/2023
New Super Mario Bros U Deluxe,nintendo-switch,32.58,34.57,34.57,22/03/2023
Zelda: Skyward Sword HD,nintendo-switch,33.20,36.00,36.00,22/03/2023
Xenoblade Chronicles 2: Torna The Golden Country,nintendo-switch,40.97,58.75,58.75,22/03/2023
Zelda Breath of the Wild [Master Edition],nintendo-switch,326.22,718.00,718.00,22/03/2023
Mario + Rabbids Kingdom Battle,nintendo-switch,12.23,14.64,14.64,22/03/2023
Pokemon Scarlet &amp; Violet Double Pack,nintendo-switch,94.99,94.99,94.99,22/03/2023
Pokemon Scarlet,nintendo-switch,39.50,42.00,42.00,22/03/2023
Splatoon 2,nintendo-switch,18.41,20.02,20.02,22/03/2023
Celeste,nintendo-switch,83.33,99.00,99.00,22/03/2023
Super Mario 3D World + Bowser's Fury,nintendo-switch,36.39,37.45,37.45,22/03/2023
Pokemon Shield,nintendo-switch,28.49,29.74,29.74,22/03/2023
Nintendo Switch OLED with White Joy-Con,nintendo-switch,180.24,293.79,293.79,22/03/2023
Pokemon Let's Go Pikachu,nintendo-switch,34.66,34.75,34.75,22/03/2023
Mario Party Superstars,nintendo-switch,37.50,38.76,38.76,22/03/2023
Minecraft,nintendo-switch,21.49,22.63,22.63,22/03/2023
Gris [Signature Edition],nintendo-switch,049.02,109.30,109.30,22/03/2023
Metroid Dread,nintendo-switch,35.00,37.75,37.75,22/03/2023
Pokemon Shining Pearl,nintendo-switch,28.92,29.42,29.42,22/03/2023
Shantae and the Pirate's Curse [Collector's Edition],nintendo-switch,507.58,632.23,632.23,22/03/2023
